FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1G
53221,21500.764800739,1,0,0,0,0,0,0.0351669264834181,0.0323340764267969
53222,21500.789898233,6,0,0,0,0,0,0.033637071985264,0.0312858323863632
53223,21500.814990191,1,0,0,0,0,0,0.0351414842177221,0.032329871983973
53224,21500.840088092,6,0,0,0,0,0,0.0336223228457301,0.0312890812739999
53225,21500.865200234,1,0,0,0,0,0,0.0351658202979531,0.0323390453137707
53226,21500.890296996,6,0,0,0,0,0,0.0336527429460188,0.0313213790393296
53227,21500.915390258,1,0,0,0,0,0,0.0351881283714981,0.0323587297506285
53228,21500.940486367,6,0,0,0,0,0,0.0336435247338101,0.0313427834755244
53229,21500.965600299,1,0,0,0,0,0,0.0351809381659753,0.0323868230731342
53230,21500.990695026,6,0,0,0,0,0,0.0336462901974727,0.0313360945892135
53231,21501.015789753,1,0,0,0,0,0,0.0351955029412651,0.0323797519647484
53232,21501.040885253,6,0,0,0,0,0,0.0336485025684028,0.0313422101424121
53233,21501.065995359,1,0,0,0,0,0,0.0352203921142285,0.0323784141874862
53234,21501.091109739,6,0,0,0,0,0,0.033638178170729,0.0313563523591836
53235,21501.116206541,1,0,0,0,0,0,0.0351973465837068,0.0323963786250068
53236,21501.141298868,6,0,0,0,0,0,0.0336215853887534,0.0313657168000189
53237,21501.166414875,1,0,0,0,0,0,0.0351626861058021,0.0324175919501642
53238,21501.191509846,6,0,0,0,0,0,0.0336217697529976,0.0313708767980301
53239,21501.21660392,1,0,0,0,0,0,0.0351661890264414,0.0323894986276585
53240,21501.241699624,6,0,0,0,0,0,0.0336492400253795,0.0313680101324683
53241,21501.266812783,1,0,0,0,0,0,0.0351916312921374,0.0323994364016061
53242,21501.291904418,6,0,0,0,0,0,0.0336123671765447,0.0313685834655807
53243,21501.317002278,1,0,0,0,0,0,0.0351768821526035,0.0324038319554675
53244,21501.342095335,6,0,0,0,0,0,0.0336250883093927,0.0313597923578578
53245,21501.367208779,1,0,0,0,0,0,0.0351589988209186,0.032406125287917
53246,21501.392305622,6,0,0,0,0,0,0.0336162388256724,0.0313878856803635
53247,21501.417398152,1,0,0,0,0,0,0.0351719043180108,0.0324110941748908
53248,21501.442494708,6,0,0,0,0,0,0.0336245352166602,0.0314079523392961
53249,21501.467589191,1,0,0,0,0,0,0.0352058273389388,0.0324229430592129
