FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
28605,3444.202992226,1,0,0,0,0,0,0.0338205998014161
28606,3444.22808858,6,0,0,0,0,0,0.0301662766273825
28607,3444.253180907,1,0,0,0,0,0,0.0338001497333835
28608,3444.278277994,6,0,0,0,0,0,0.0301489460612531
28609,3444.303370969,1,0,0,0,0,0,0.0338261455825775
28610,3444.32848364,6,0,0,0,0,0,0.030152412174479
28611,3444.353582152,1,0,0,0,0,0,0.0338114146013675
28612,3444.37869527,6,0,0,0,0,0,0.0301576113443178
28613,3444.403789183,1,0,0,0,0,0,0.0337907912276736
28614,3444.428884887,6,0,0,0,0,0,0.0301588244839469
28615,3444.453996376,1,0,0,0,0,0,0.0338107213787224
28616,3444.479093789,6,0,0,0,0,0,0.0301645435707695
28617,3444.504187702,1,0,0,0,0,0,0.0338100281560772
28618,3444.529282226,6,0,0,0,0,0,0.0301572647329952
28619,3444.554377197,1,0,0,0,0,0,0.0338169603825289
28620,3444.579470986,6,0,0,0,0,0,0.0301593444009307
28621,3444.604584389,1,0,0,0,0,0,0.0338140141862869
28622,3444.629680459,6,0,0,0,0,0,0.0301666232387051
28623,3444.654775959,1,0,0,0,0,0,0.0338154006315773
28624,3444.67986926,6,0,0,0,0,0,0.0301499858952209
28625,3444.704961424,1,0,0,0,0,0,0.0338133209636418
28626,3444.730078367,6,0,0,0,0,0,0.0301496392838983
28627,3444.755173176,1,0,0,0,0,0,0.0338251057486097
28628,3444.780266519,6,0,0,0,0,0,0.0301517189518338
28629,3444.805362343,1,0,0,0,0,0,0.0338218129410451
28630,3444.830476357,6,0,0,0,0,0,0.0301508524235274
28631,3444.855570677,1,0,0,0,0,0,0.0338301316127872
28632,3444.880678303,6,0,0,0,0,0,0.0301508524235274
28633,3444.905778157,1,0,0,0,0,0,0.033828225250513
28634,3444.930874306,6,0,0,0,0,0,0.0301418405291401
28635,3444.955986326,1,0,0,0,0,0,0.0338032692352867
28636,3444.981081582,6,0,0,0,0,0,0.0301416672234788
28637,3445.006177041,1,0,0,0,0,0,0.0338030959296254
28638,3445.031268473,6,0,0,0,0,0,0.0301489460612531
28639,3445.056385904,1,0,0,0,0,0,0.0338259722769162
28640,3445.081480467,6,0,0,0,0,0,0.0301498125895596
