,Time,zF
5872,293.6,-0.038808230422105974
5873,293.65,-0.05933482831470749
5874,293.7,-0.08482966335627647
5875,293.75,-0.10199901705636326
5876,293.8,-0.1253030774824239
5877,293.85,-0.14559551562043535
5878,293.9,-0.16093379400582702
5879,293.95,-0.18626422854139207
5880,294.0,-0.20511864203336735
5881,294.05,-0.2167037264982302
5882,294.1,-0.22744596371793688
5883,294.15,-0.2328558285704477
5884,294.2,-0.24124088044875397
5885,294.25,-0.24944025001177406
5886,294.3,-0.2571773608675107
5887,294.35,-0.2669563236083599
5888,294.4,-0.2871599247776686
5889,294.45,-0.29920862222226563
5890,294.5,-0.3013034688876481
5891,294.55,-0.3083587203153263
5892,294.6,-0.3219751804865286
5893,294.65,-0.3349976659398317
5894,294.7,-0.34700645472792974
5895,294.75,-0.3628811800057878
5896,294.8,-0.37394949169276404
5897,294.85,-0.3929268782343315
5898,294.9,-0.40332798488526533
5899,294.95,-0.41657385946909153
5900,295.0,-0.42298582966632287
5901,295.05,-0.4320023238751885
5902,295.1,-0.4403296353508629
5903,295.15,-0.4508947289262417
5904,295.2,-0.4632683974990623
5905,295.25,-0.4781415450399835
5906,295.3,-0.4841410339739112
5907,295.35,-0.49671091380309385
5908,295.4,-0.5189215867030029
5909,295.45,-0.5361892910208848
5910,295.5,-0.5412410931716516
5911,295.55,-0.555636346446031
5912,295.6,-0.570908205478618
5913,295.65,-0.5871674436935965
5914,295.7,-0.5944169586546857
5915,295.75,-0.6077633479517931
5916,295.8,-0.614565471211776
5917,295.85,-0.6271455336453589
5918,295.9,-0.637614121176295
5919,295.95,-0.6541995552959896
5920,296.0,-0.6585269322182611
5921,296.05,-0.6651179044588709
5922,296.1,-0.6714673802827112
5923,296.15,-0.6788577321527436
5924,296.2,-0.6926196947713307
5925,296.25,-0.7089210870841185
5926,296.3,-0.7192705405988431
5927,296.35,-0.7322752379788681
5928,296.4,-0.746771692584041
5929,296.45,-0.7472264480717148
5930,296.5,-0.7544123954675179
5931,296.55,-0.7541262334477866
5932,296.6,-0.7608924812925559
5933,296.65,-0.7633777649244823
5934,296.7,-0.7717567386540393
5935,296.75,-0.7717354929403397
5936,296.8,-0.7769925530906189
5937,296.85,-0.794366137058765
5938,296.9,-0.7949762287142654
5939,296.95,-0.7931804666025642
5940,297.0,-0.7945549890925541
5941,297.05,-0.8021251558130905
5942,297.1,-0.8029872039205084
5943,297.15,-0.8022341609819112
5944,297.2,-0.8121999534039379
5945,297.25,-0.8078193339361267
5946,297.3,-0.8166804063250119
5947,297.35,-0.8121274515822215
5948,297.4,-0.8224480230235969
5949,297.45,-0.8284466561139836
5950,297.5,-0.8365404348033607
5951,297.55,-0.8443610009493233
5952,297.6,-0.8530139442846686
5953,297.65,-0.8626577814479213
5954,297.7,-0.8635421253326783
5955,297.75,-0.859827888628472
5956,297.8,-0.8601439364189682
5957,297.85,-0.8631396187897457
5958,297.9,-0.8571115041131826
5959,297.95,-0.8537445906715099
5960,298.0,-0.843808024866658
5961,298.05,-0.8361604503508727
5962,298.1,-0.8300103366704081
5963,298.15,-0.8135331568597015
5964,298.2,-0.8004507170526043
5965,298.25,-0.7871175508810169
5966,298.3,-0.7690521756608717
5967,298.35,-0.7452033697383361
5968,298.4,-0.729417206170827
5969,298.45,-0.7125377018189424
5970,298.5,-0.6911424800877897
5971,298.55,-0.6745274425391249
5972,298.6,-0.6569058004585272
5973,298.65,-0.641392448388651
5974,298.7,-0.6162668121622952
5975,298.75,-0.5923703266106776
5976,298.8,-0.57120209517998
5977,298.85,-0.5446907449334787
5978,298.9,-0.5084036247372318
5979,298.95,-0.4807585576734609
5980,299.0,-0.4557011804246374
5981,299.05,-0.4336793131986494
5982,299.1,-0.4088270197005423
5983,299.15,-0.3781054381016558
5984,299.2,-0.3484107966434994
5985,299.25,-0.31463366279747523
5986,299.3,-0.28115167551544024
5987,299.35,-0.24709793474733782
5988,299.4,-0.22705459421470997
5989,299.45,-0.20557186102906777
5990,299.5,-0.18517995639423238
5991,299.55,-0.15762706318763817
5992,299.6,-0.13352817951084908
5993,299.65,-0.11137070506576875
5994,299.7,-0.09619954568598241
5995,299.75,-0.072535103650227
5996,299.8,-0.04321076770333203
5997,299.85,-0.02117560601098908
5998,299.9,-0.0074445619028595126
5999,299.95,-0.0005999861832338084
6000,300.0,0.024897054718312186
6001,300.05,0.04008257286484518
6002,300.1,0.053845033164485266
6003,300.15,0.07811393830572634
6004,300.2,0.09326778808561673
6005,300.25,0.1181540190444152
6006,300.3,0.13148297493036332
6007,300.35,0.15180785289863435
6008,300.4,0.16733604065008714
6009,300.45,0.17397619240535775
6010,300.5,0.19471971715880054
6011,300.55,0.20375195869218968
6012,300.6,0.22186516385357882
6013,300.65,0.23514891392623274
6014,300.7,0.2432737064642418
6015,300.75,0.26090626035634934
6016,300.8,0.26844005290359707
6017,300.85,0.2802859651523963
6018,300.9,0.28464802055620864
6019,300.95,0.28842574232227175
6020,301.0,0.29542850162447076
6021,301.05,0.3067847321445828
6022,301.1,0.30937801387645353
6023,301.15,0.3066227922499988
6024,301.2,0.3086940715666405
6025,301.25,0.30618469145333754
6026,301.3,0.3120368264619928
6027,301.35,0.30701999135784175
6028,301.4,0.3057898339193683
6029,301.45,0.29644822422052586
6030,301.5,0.2853389058587949
6031,301.55,0.2800658261557413
6032,301.6,0.2786061499388343
6033,301.65,0.27031806661541735
6034,301.7,0.2654481562466003
6035,301.75,0.2542691653831585
6036,301.8,0.2421398019402663
6037,301.85,0.22282704141888834
6038,301.9,0.21607403760090207
6039,301.95,0.21247682508365323
6040,302.0,0.20479265042888473
6041,302.05,0.1964051244920692
6042,302.1,0.18916968302885034
6043,302.15,0.1827279293550639
6044,302.2,0.17343665969317945
6045,302.25,0.15636487838308985
6046,302.3,0.14082909276203734
6047,302.35,0.13157792381319242
6048,302.4,0.12540042918454125
6049,302.45,0.11733769294259515
6050,302.5,0.10784025080465466
6051,302.55,0.10114682704059948
6052,302.6,0.08741987869515726
6053,302.65,0.0744400102308542
6054,302.7,0.06269094518300879
6055,302.75,0.04681503511094372
6056,302.8,0.033034932833725106
6057,302.85,0.015303005444598446
6058,302.9,0.007034747161557046
6059,302.95,-0.011086671972498732
6060,303.0,-0.024314314710811205
6061,303.05,-0.043013476348781325
6062,303.1,-0.06460391949040803
6063,303.15,-0.08791253385804322
6064,303.2,-0.10629265095349254
6065,303.25,-0.12108466312950089
6066,303.3,-0.13656903869731085
6067,303.35,-0.14804258517795577
6068,303.4,-0.1510883658989069
6069,303.45,-0.1700299678578297
6070,303.5,-0.17270261454447203
6071,303.55,-0.18880421634201144
6072,303.6,-0.2031728972134716
6073,303.65,-0.2100256034990871
6074,303.7,-0.2270775270281348
6075,303.75,-0.2268981550723439
6076,303.8,-0.23473031726231808
6077,303.85,-0.23871066496064575
6078,303.9,-0.250196016282704
6079,303.95,-0.2587925667214388
6080,304.0,-0.2716735828486802
6081,304.05,-0.27997359188394105
6082,304.1,-0.2825639959837285
6083,304.15,-0.2884130915943055
6084,304.2,-0.2889589880587531
6085,304.25,-0.302656364465714
6086,304.3,-0.29953454769216126
6087,304.35,-0.30274095863889827
6088,304.4,-0.300441778428891
6089,304.45,-0.29983205407930696
6090,304.5,-0.3061427139120911
6091,304.55,-0.3146606071276983
6092,304.6,-0.31871106107673736
6093,304.65,-0.33171646308261515
6094,304.7,-0.33701782726297175
6095,304.75,-0.34665788652873447
6096,304.8,-0.35164710025741064
6097,304.85,-0.368317001052983
6098,304.9,-0.3831040996820182
6099,304.95,-0.38665583449283053
